"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00041912","COLFAX, CA US","1960-11-22",,,"0.00","0.0","0.0","54","41","49"
"USC00041912","COLFAX, CA US","1960-11-23",,,"0.00","0.0","0.0","52","31","49"
"USC00041912","COLFAX, CA US","1960-11-24",,,"0.00","0.0","0.0","57","46","53"
"USC00041912","COLFAX, CA US","1960-11-25",,,,"0.0","0.0","52","37","42"
"USC00041912","COLFAX, CA US","1960-11-26","    2","2.73",,"0.0","0.0","49","34","46"
"USC00041912","COLFAX, CA US","1960-11-27",,,"0.00","0.0","0.0","54","32","48"
"USC00041912","COLFAX, CA US","1960-11-28",,,"0.00","0.0","0.0","54","39","50"
"USC00041912","COLFAX, CA US","1960-11-29",,,"0.00","0.0","0.0","55","38","50"
"USC00041912","COLFAX, CA US","1960-11-30",,,"0.02","0.0","0.0","61","44","55"
"USC00041912","COLFAX, CA US","1960-12-01",,,"1.32","0.0","0.0","58","45","47"
"USC00041912","COLFAX, CA US","1960-12-02",,,"0.88","0.0","0.0","47","39","41"
"USC00041912","COLFAX, CA US","1960-12-03",,,"0.11","0.0","0.0","52","32","49"
"USC00041912","COLFAX, CA US","1960-12-04",,,"0.00","0.0","0.0","49","33","44"
"USC00041912","COLFAX, CA US","1960-12-05",,,"0.00","0.0","0.0","54","33","49"
"USC00041912","COLFAX, CA US","1960-12-06",,,"0.00","0.0","0.0","55","25","50"
"USC00041912","COLFAX, CA US","1960-12-07",,,"0.00","0.0","0.0","61","32","51"
"USC00041912","COLFAX, CA US","1960-12-08",,,"0.00","0.0","0.0","60","37","48"
"USC00041912","COLFAX, CA US","1960-12-09",,,"0.00","0.0","0.0","52","28","47"
"USC00041912","COLFAX, CA US","1960-12-10",,,"0.17","0.0","0.0","49","32","40"
"USC00041912","COLFAX, CA US","1960-12-11",,,"0.12","0.0","0.0","56","36","52"
"USC00041912","COLFAX, CA US","1960-12-12",,,"0.00","0.0","0.0","52","35","48"
"USC00041912","COLFAX, CA US","1960-12-13",,,"0.00","0.0","0.0","56","36","46"
"USC00041912","COLFAX, CA US","1960-12-14",,,"0.00","0.0","0.0","57","41","53"
"USC00041912","COLFAX, CA US","1960-12-15",,,"0.16","0.0","0.0","55","37","49"
"USC00041912","COLFAX, CA US","1960-12-16",,,"0.09","0.0","0.0","52","42","47"
"USC00041912","COLFAX, CA US","1960-12-17",,,"0.48","0.0","0.0","54","44","53"
"USC00041912","COLFAX, CA US","1960-12-18",,,"0.05","0.0","0.0","53","42","48"
"USC00041912","COLFAX, CA US","1960-12-19",,,"0.00","0.0","0.0","66","41","63"
"USC00041912","COLFAX, CA US","1960-12-20",,,"0.00","0.0","0.0","65","44","55"
"USC00041912","COLFAX, CA US","1960-12-21",,,"0.00","0.0","0.0","64","40","60"
"USC00041912","COLFAX, CA US","1960-12-22",,,"0.00","0.0","0.0","70","39","64"
"USC00041912","COLFAX, CA US","1960-12-23",,,"0.00","0.0","0.0","68","43","55"
"USC00041912","COLFAX, CA US","1960-12-24",,,"0.00","0.0","0.0","66","42","62"
