"DOWNLOAD DATE: 2021-12-07","","","","","",""
"","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates","Timezone","Location Type","",""
"Lake Oroville","CA","[-121.48383, 39.53784]","PT","Lake/Reservoir","",""
"#MODEL INFORMATION#","","","","","",""
"Model Run","Model Name","Model Run Description","Model Run Date Time","Attributes","",""
"CalSim II ROC on LTO COS","CalSim II","CalSim II Current Operations Study (COS) from the Reinitiation of Consulation on the Coordinated Long-Term Operations (ROC on LTO) of the Central Valley Project (CVP) and the State Water Project (SWP) Draft Environmental Impact Statement. The Current Operations Scenario represents CVP and SWP operations to comply with the ""current"" regulatory environment (as of December 27, 2017) under projected Year 2030 conditions.","2019-01-14 06:54:52","Model run assumptions are described in Section 3.1 of Appendix D of the ROC on LTO Draft EIS, available at https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=276781","",""
"#MODEL DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Lake Oroville","Lake/Reservoir Storage","1871.41","taf","monthly","instant","1996-10-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1849.01","taf","monthly","instant","1996-11-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2788","taf","monthly","instant","1996-12-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2788","taf","monthly","instant","1997-01-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2952","taf","monthly","instant","1997-02-28 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3123","taf","monthly","instant","1997-03-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3257.66","taf","monthly","instant","1997-04-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3259.06","taf","monthly","instant","1997-05-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3107.76","taf","monthly","instant","1997-06-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2623.45","taf","monthly","instant","1997-07-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2276.93","taf","monthly","instant","1997-08-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1732.51","taf","monthly","instant","1997-09-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1547.65","taf","monthly","instant","1997-10-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1551.43","taf","monthly","instant","1997-11-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","1658.04","taf","monthly","instant","1997-12-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2544.96","taf","monthly","instant","1998-01-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2788","taf","monthly","instant","1998-02-28 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","2817","taf","monthly","instant","1998-03-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3298","taf","monthly","instant","1998-04-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3538","taf","monthly","instant","1998-05-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3538","taf","monthly","instant","1998-06-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3518.94","taf","monthly","instant","1998-07-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3495.1","taf","monthly","instant","1998-08-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3351","taf","monthly","instant","1998-09-30 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3135.66","taf","monthly","instant","1998-10-31 08:00:00"
"Lake Oroville","Lake/Reservoir Storage","3008","taf","monthly","instant","1998-11-30 08:00:00"
